Species	N	Heteroneme free length µm	Heteroneme width µm	Heteroneme volume µm3	Heteroneme shaft free length µm	Heteroneme shaft width µm	Heteroneme number	Haploneme free length µm	Haploneme width µm	Desmoneme length µm	Desmoneme width µm	Rhopaloneme length µm	Rhopaloneme width µm	Cnidoband length µm	Cnidoband free length µm	Cnidoband width µm	Haploneme row number	Tentacle width µm	Pedicle width µm	Elastic strand width µm	Involucrum length µm	Cnidoband coiledness	Heteroneme elongation	Haploneme elongation	Desmoneme elongation	Rhopaloneme elongation	Heteroneme shaft extension	Heteroneme/Cnidoband length	Total heteroneme volume µm3	Total haploneme volume µm3	log Total nematocyst volume	Haploneme surface area:volume
Abyla bicarinata	1	111.20	7.80	3542.37	76.50		8.00	59.20	9.30	18.60	11.80	12.70	3.20	308.30	308.30	50.90	7		16.30	12.20	0.00	1.00	14.26	6.37	1.58	3.97	1.45	0.36	28338.94	88874.42	11.67	0.50
Abylopsis tetragona	5	132.90±10.96	13.82±1.62	14487.09±3868.23	84.44±13.28	5.30±0.62	9.60±0.98	41.74±4.17	8.42±0.90	19.40±2.10	12.92±1.87	15.08±1.97	3.98±0.57	578.84±83.77	619.00±89.97	58.18±3.33	7	43.68±7.29	24.40±3.26	13.92±3.04	75.74±21.05	1.07±0.01	10.09±1.27	5.05±0.41	1.60±0.20	3.89±0.31	1.86±0.52	0.23±0.03	143262.09±48176.59	130946.61±42940.59	12.31±0.33	0.59±0.07
Agalma clausi	1	80.00	14.90	9299.55	52.30	10.40	8.00	45.60	6.20	8.60	5.30	7.20	1.90	274.80	850.50	123.60	18	175.20	43.40	24.40	662.60	3.09	5.37	7.35	1.62	3.79	1.53	0.09	74396.44	125901.08	12.21	0.76
Agalma elegans	5	107.72±6.84	16.66±0.69	15967.91±2041.91	76.46±4.65	5.96±0.55	10.40±1.50	31.90±1.91	4.80±0.27	5.42±0.22	4.50±0.24	7.62±0.43	2.00±0.11	342.88±46.62	1338.74±131.87	66.68±6.04	13±0.77	90.10±6.71	60.66±6.87	22.68±2.67	336.44±19.17	3.98±0.18	6.47±0.32	6.68±0.36	1.21±0.06	3.82±0.13	1.43±0.12	0.08±0.01	165284.89±29261.67	104900.73±6708.06	12.47±0.13	0.99±0.05
Agalma okenii	5	114.40±10.44	20.24±1.06	25067.26±3755.95	62.10±7.26	6.24±0.98	49.00±5.17	53.80±2.73	9.32±0.86	6.70±0.40	4.82±0.47	8.56±1.13	2.24±0.39	789.90±87.84	4333.94±387.63	107.26±8.19	13.60±0.40	112.58±10.29	53.24±7.65	24.74±1.35	866.06±98.37	5.63±0.59	5.67±0.49	5.96±0.64	1.41±0.06	4.18±0.77	1.89±0.13	0.03±0.00	1211423.09±208348.04	1154217.39±179183.71	14.63±0.15	0.52±0.04
Amphicaryon earnesti	1	18.90	9.60	912.02			4.00	17.50	4.00	5.40	5.10	9.90	2.20	57.40	62.20	26.30	7					1.08	1.97	4.38	1.06	4.50		0.30	3648.08	2279.75	8.69	1.19
Apolemia lanosa	5	22.41±1.45	14.47±0.46	2493.14±289.19	35.88±7.39	3.65±0.46												51.30±5.24					1.55±0.08				0.82±0.26	22405.00±1454.14			7.79±0.12	
Apolemia rubriversa	5	17.56±3.92	10.24±1.57	1378.98±838.95	24.22±3.24	2.48±0.43												28.66±10.06					1.66±0.09				0.75±0.14	17560.00±3919.90			6.72±0.44	
Apolemia uvaria	1	20.90	12.80	1792.94	36.60	3.20												76.10					1.63				0.57	20900.00			7.49	
Athorybia rosacea	5	40.40±3.48	15.00±0.92	5002.25±909.85	35.28±3.49	4.90±0.97	11.60±3.25	24.88±1.45	4.50±0.08	7.92±1.05	6.32±1.23	7.50±0.38	2.18±0.14	188.72±36.34	385.18±82.55	54.00±2.43	10±1.18	92.68±9.92	53.12±12.87	9.70±0.99	154.68±16.67	2.01±0.25	2.68±0.12	5.52±0.25	1.31±0.09	3.49±0.24	1.16±0.08	0.12±0.02	68786.90±23946.59	22879.57±5287.26	11.09±0.46	1.05±0.01
Bargmannia amoena	5	88.16±4.13	62.66±2.72	185304.98±23180.03	62.96±5.73	13.24±0.85	8.40±1.81	14.28±2.60	12.02±1.67					2549.62±1020.73	3782.32±1698.80	95.94±17.52	6.40±1.60	201.52±35.61	60.80±7.29		0.00	1.34±0.10	1.41±0.02	1.18±0.12			1.44±0.11	0.06±0.02	1648782.82±515923.18	525559.68±369599.94	14.30±0.37	0.51±0.06
Bargmannia elongata	6	89.34±3.42	60.38±2.96	175290.02±25580.05	62.52±5.55	9.82±0.83	3.60±0.37	8.20±0.83	6.88±0.70					1584.24±421.17	2232.76±611.33	40.50±5.27	5.60±0.89	199.28±28.02	60.34±14.83		0.00	1.43±0.09	1.48±0.04	1.20±0.07			1.47±0.10	0.07±0.02	643747.91±127495.89	74646.42±31768.31	13.37±0.22	0.86±0.08
Bargmannia lata	1	158.60	114.10	1081120.52	135.60	19.10	12.00	17.80	13.70					4297.10	12682.70	100.40	7		145.70		0.00	2.95	1.39	1.30			1.17	0.01	12973446.22	1619387.98	16.50	0.40
